Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,110.08,110.08,screen dark,0.046982144
0,7.354,7.354,wifi running,0.0031386872000000003
7.354,8.687,1.3329999999999993,wifi scan,0.0005689243999999998
8.687,9.193,0.5060000000000002,wifi running,0.0002159608000000001
9.193,10.713,1.5199999999999996,wifi scan,0.0006487359999999998
10.713,62.704,51.991,wifi running,0.0221897588
62.704,64.243,1.5389999999999944,wifi scan,0.0006568451999999977
64.243,110.08,45.837,wifi running,0.0195632316
7.354,8.687,1.3329999999999993,gps,0.0005689243999999998
0.0,3.193689000006998,3.193689000006998,core 0 cpu_idle start,0.0013630664652029868
0.0,1.1353919999965,1.1353919999965,core 1 cpu_idle start,0.00048458530559850624
0.0,0.0130840000056196,0.0130840000056196,core 2 cpu_idle start,5.584251202398446e-06
0.0,0.007084000011673197,0.007084000011673197,core 3 cpu_idle start,3.0234512049821207e-06
0.0,0.00498699999297969,0.00498699999297969,core 4 cpu_idle start,2.128451597003732e-06
0.0,0.020083999988855794,0.020083999988855794,core 5 cpu_idle start,8.571851195243653e-06
0.0,0.0032979999959934503,0.0032979999959934503,core 6 cpu_idle start,1.4075863982900047e-06
0.0,0.0015669999993406236,0.0015669999993406236,core 7 cpu_idle start,6.687955997185782e-07
