Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,112.569,112.569,screen dark,0.0480219354
0,112.569,112.569,wifi running,0.0480219354
0.0,4.383516999980202,4.383516999980202,core 0 cpu_idle start,0.0018700083521915542
0.0,5.430839000007836,5.430839000007836,core 1 cpu_idle start,0.002316795917403343
0.0,3.771891999989748,3.771891999989748,core 2 cpu_idle start,0.0016090891271956266
0.0,3.276832999981707,3.276832999981707,core 3 cpu_idle start,0.0013978969577921963
0.0,3.2850869999965653,3.2850869999965653,core 4 cpu_idle start,0.0014014181141985347
0.0,3.2727559999912046,3.2727559999912046,core 5 cpu_idle start,0.001396157709596248
0.0,3.39027899998473,3.39027899998473,core 6 cpu_idle start,0.001446293021393486
0.0,3.284669999993639,3.284669999993639,core 7 cpu_idle start,0.0014012402219972864
