Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,110.061,110.061,screen dark,0.04693001040000001
0,110.061,110.061,wifi running,0.04693001040000001
0.0,1.7549550000112504,1.7549550000112504,core 0 cpu_idle start,0.0007483128120047973
0.0,0.4662339999922551,0.4662339999922551,core 1 cpu_idle start,0.00019880217759669761
0.0,0.003934000007575378,0.003934000007575378,core 2 cpu_idle start,1.6774576032301413e-06
0.0,0.0017309999966528267,0.0017309999966528267,core 3 cpu_idle start,7.380983985727654e-07
0.0,0.00022600000374950469,0.00022600000374950469,core 4 cpu_idle start,9.636640159878881e-08
0.0,0.0051549999916460365,0.0051549999916460365,core 5 cpu_idle start,2.1980919964378702e-06
0.0,0.02326399998855777,0.02326399998855777,core 6 cpu_idle start,9.919769595121035e-06
0.0,3.399999695830047e-05,3.399999695830047e-05,core 7 cpu_idle start,1.4497598703019323e-08
