Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,114.38499999999999,114.38499999999999,screen dark,0.048796640999999995
0,114.38499999999999,114.38499999999999,wifi running,0.048796640999999995
4.436,98.173,93.737,audio,0.0399882042
0.0,0.13294800001312979,0.13294800001312979,core 0 cpu_idle start,5.671561680560117e-05
0.0,0.04131900001084432,0.04131900001084432,core 1 cpu_idle start,1.7626685404626186e-05
0.0,0.016734000004362315,0.016734000004362315,core 2 cpu_idle start,7.138724401860964e-06
0.0,0.007406000018818304,0.007406000018818304,core 3 cpu_idle start,3.1593996080278886e-06
0.0,0.0012069999938830733,0.0012069999938830733,core 4 cpu_idle start,5.149061973905191e-07
0.0,0.02478000000701286,0.02478000000701286,core 5 cpu_idle start,1.0571148002991686e-05
0.0,0.008000000001629815,0.008000000001629815,core 6 cpu_idle start,3.412800000695279e-06
0.0,0.0036680000193882734,0.0036680000193882734,core 7 cpu_idle start,1.5647688082710374e-06
