Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,110.88300000000001,110.88300000000001,screen dark,0.0472915995
0,7.37,7.37,wifi running,0.0031433050000000003
7.37,8.232,0.8619999999999992,wifi scan,0.0003676429999999997
8.232,8.983,0.7510000000000012,wifi running,0.00032030150000000054
8.983,11.85,2.866999999999999,wifi scan,0.0012227754999999997
11.85,86.956,75.10600000000001,wifi running,0.032032709000000006
86.956,88.473,1.516999999999996,wifi scan,0.0006470004999999982
88.473,110.88300000000001,22.41000000000001,wifi running,0.009557865000000006
7.37,8.232,0.8619999999999992,gps,0.0003676429999999997
0.0,0.07007800001883879,0.07007800001883879,core 0 cpu_idle start,2.9888267008034747e-05
0.0,0.03790700001991354,0.03790700001991354,core 1 cpu_idle start,1.6167335508493125e-05
0.0,0.016017000016290694,0.016017000016290694,core 2 cpu_idle start,6.8312505069479814e-06
0.0,0.015734000015072525,0.015734000015072525,core 3 cpu_idle start,6.710551006428432e-06
0.0,0.0005440000095404685,0.0005440000095404685,core 4 cpu_idle start,2.320160040690098e-07
0.0,0.013318000012077391,0.013318000012077391,core 5 cpu_idle start,5.680127005151008e-06
0.0,0.012698000005912036,0.012698000005912036,core 6 cpu_idle start,5.415697002521483e-06
0.0,0.00020400001085363328,0.00020400001085363328,core 7 cpu_idle start,8.70060046290746e-08
