Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,111.374,111.374,screen dark,0.047556697999999994
0,111.374,111.374,wifi running,0.047556697999999994
0.0,0.31632700000773184,0.31632700000773184,core 0 cpu_idle start,0.0001350716290033015
0.0,0.316357000003336,0.316357000003336,core 1 cpu_idle start,0.00013508443900142446
0.0,0.01289300000644289,0.01289300000644289,core 2 cpu_idle start,5.505311002751114e-06
0.0,0.000977999996393919,0.000977999996393919,core 3 cpu_idle start,4.1760599846020336e-07
0.0,0.0029149999900255352,0.0029149999900255352,core 4 cpu_idle start,1.2447049957409035e-06
0.0,0.011314000003039837,0.011314000003039837,core 5 cpu_idle start,4.83107800129801e-06
0.0,0.004151000001002103,0.004151000001002103,core 6 cpu_idle start,1.772477000427898e-06
0.0,0.0013669999898411334,0.0013669999898411334,core 7 cpu_idle start,5.837089956621639e-07
