Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,110.26599999999999,110.26599999999999,screen dark,0.0470394756
0,110.26599999999999,110.26599999999999,wifi running,0.0470394756
0.0,0.0032899999932851642,0.0032899999932851642,core 0 cpu_idle start,1.4035139971354512e-06
0.0,0.032081999990623444,0.032081999990623444,core 1 cpu_idle start,1.3686181195999962e-05
0.0,0.004967999993823469,0.004967999993823469,core 2 cpu_idle start,2.119348797365092e-06
0.0,8.599998545832932e-05,8.599998545832932e-05,core 3 cpu_idle start,3.668759379652329e-08
0.0,0.001057999994372949,0.001057999994372949,core 4 cpu_idle start,4.5134279759950006e-07
0.0,0.0010839999886229634,0.0010839999886229634,core 5 cpu_idle start,4.6243439514655623e-07
0.0,0.0005099999834783375,0.0005099999834783375,core 6 cpu_idle start,2.175659929518588e-07
0.0,0.03660699998727068,0.03660699998727068,core 7 cpu_idle start,1.5616546194569673e-05
