Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,14.196,14.196,screen dark,3.57639828
0,14.196,14.196,wifi running,0.026065275599999996
0.0,0.012479000026360154,0.012479000026360154,core 0 cpu_idle start,0.001065706602251157
0.012479000026360154,1.0054330000421032,0.9929540000157431,core 0 cpu_idle,0.08479827160134445
1.0054330000421032,1.0071200000238605,0.0016869999817572534,core 0 cpu_frequency,0.0001440697984420694
1.0071200000238605,1.0949920000275597,0.08787200000369921,core 0 cpu_idle,0.007504268800315912
1.0949920000275597,1.095270000048913,0.000278000021353364,core 0 cpu_frequency,2.3741201823577282e-05
1.095270000048913,1.0988580000121146,0.0035879999632015824,core 0 cpu_idle,0.0003064151968574151
1.0988580000121146,1.0992490000207908,0.0003910000086762011,core 0 cpu_frequency,3.339140074094757e-05
1.0992490000207908,1.1023610000265762,0.003112000005785376,core 0 cpu_idle,0.0002657648004940711
1.1023610000265762,1.1024400000460446,7.90000194683671e-05,core 0 cpu_frequency,6.746601662598549e-06
1.1024400000460446,1.3694330000435002,0.2669929999974556,core 0 cpu_idle,0.022801202199782707
1.3694330000435002,1.3703160000150092,0.0008829999715089798,core 0 cpu_frequency,7.540819756686687e-05
1.3703160000150092,1.5216760000330396,0.1513600000180304,core 0 cpu_idle,0.012926144001539795
1.5216760000330396,1.5237870000419207,0.002111000008881092,core 0 cpu_frequency,0.00018027940075844524
1.5237870000419207,1.5251390000339597,0.0013519999920390546,core 0 cpu_idle,0.00011546079932013525
1.5251390000339597,1.5311770000262186,0.006037999992258847,core 0 cpu_frequency,0.0005156451993389054
1.5311770000262186,1.5456960000446998,0.014519000018481165,core 0 cpu_idle,0.0012399226015782914
1.5456960000446998,1.5472070000250824,0.0015109999803826213,core 0 cpu_frequency,0.00012903939832467585
1.5472070000250824,1.5760190000291914,0.028812000004108995,core 0 cpu_idle,0.0024605448003509078
1.5760190000291914,1.5781790000619367,0.0021600000327453017,core 0 cpu_frequency,0.00018446400279644874
1.5781790000619367,1.581112000043504,0.0029329999815672636,core 0 cpu_idle,0.0002504781984258443
1.581112000043504,1.5833570000249892,0.002244999981485307,core 0 cpu_frequency,0.0001917229984188452
1.5833570000249892,3.243703000014648,1.6603459999896586,core 0 cpu_idle,0.14179354839911681
3.243703000014648,3.2505390000296757,0.006836000015027821,core 0 cpu_frequency,0.0005837944012833759
3.2505390000296757,3.2823650000500493,0.03182600002037361,core 0 cpu_idle,0.0027179404017399064
3.2823650000500493,3.283276000060141,0.0009110000100918114,core 0 cpu_frequency,7.779940086184069e-05
3.283276000060141,3.3324970000539906,0.049220999993849546,core 0 cpu_idle,0.004203473399474751
3.3324970000539906,3.333533000026364,0.0010359999723732471,core 0 cpu_frequency,8.847439764067529e-05
3.333533000026364,3.5891380000393838,0.2556050000130199,core 0 cpu_idle,0.021828667001111895
3.5891380000393838,3.590662000060547,0.0015240000211633742,core 0 cpu_frequency,0.00013014960180735214
3.590662000060547,4.9981600000173785,1.4074979999568313,core 0 cpu_idle,0.12020032919631338
4.9981600000173785,4.998277000035159,0.0001170000177808106,core 0 cpu_frequency,9.991801518481224e-06
4.998277000035159,5.00590300001204,0.007625999976880848,core 0 cpu_idle,0.0006512603980256244
5.00590300001204,5.005983000039123,8.000002708286047e-05,core 0 cpu_frequency,6.8320023128762834e-06
5.005983000039123,5.326971000060439,0.3209880000213161,core 0 cpu_idle,0.027412375201820393
5.326971000060439,5.337864000059199,0.010892999998759478,core 0 cpu_frequency,0.0009302621998940594
0.0,0.01441300002625212,0.01441300002625212,core 1 cpu_idle start,0.001230870202241931
0.01441300002625212,1.0054430000600405,0.9910300000337884,core 1 cpu_idle,0.08463396200288552
1.0054430000600405,1.0058140000328422,0.00037099997280165553,core 1 cpu_frequency,3.1683397677261375e-05
1.0058140000328422,1.0950080000329763,0.08919400000013411,core 1 cpu_idle,0.007617167600011452
1.0950080000329763,1.0953520000330172,0.0003440000000409782,core 1 cpu_frequency,2.9377600003499535e-05
1.0953520000330172,1.09887200006051,0.0035200000274926424,core 1 cpu_idle,0.00030060800234787163
1.09887200006051,1.0989300000364892,5.7999975979328156e-05,core 1 cpu_frequency,4.953197948634624e-06
1.0989300000364892,1.1023800000548363,0.0034500000183470547,core 1 cpu_idle,0.00029463000156683845
1.1023800000548363,1.103201000019908,0.0008209999650716782,core 1 cpu_frequency,7.011339701712131e-05
1.103201000019908,1.3694470000336878,0.26624600001377985,core 1 cpu_idle,0.022737408401176797
1.3694470000336878,1.3698120000190102,0.0003649999853223562,core 1 cpu_frequency,3.117099874652922e-05
