Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,15.722,15.722,screen dark,3.9608434599999995
0,15.722,15.722,wifi running,0.028867164199999996
0.0,0.5701759999501519,0.5701759999501519,core 0 cpu_idle start,0.048693030395742964
0.0,0.5668169999844395,0.5668169999844395,core 1 cpu_idle start,0.04840617179867113
0.0,0.5639139999402687,0.5639139999402687,core 2 cpu_idle start,0.04815825559489894
0.0,0.5685589999775402,0.5685589999775402,core 3 cpu_idle start,0.04855493859808193
0.0,0.5642529999604449,0.5642529999604449,core 4 cpu_idle start,0.048187206196621986
0.0,0.5618899999535643,0.5618899999535643,core 5 cpu_idle start,0.04798540599603438
0.0,0.5733209999743849,0.5733209999743849,core 6 cpu_idle start,0.048961613397812465
0.0,0.570605999964755,0.570605999964755,core 7 cpu_idle start,0.048729752396990074
