Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,15.96,15.96,screen dark,4.0208028
0,15.96,15.96,wifi running,0.029304155999999998
0.0,2.059791999985464,2.059791999985464,core 0 cpu_idle start,0.1759062367987586
0.0,2.1651379999821074,2.1651379999821074,core 1 cpu_idle start,0.18490278519847195
0.0,2.0377539999899454,2.0377539999899454,core 2 cpu_idle start,0.17402419159914131
0.0,2.0340399999986403,2.0340399999986403,core 3 cpu_idle start,0.17370701599988386
0.0,2.0431949999765493,2.0431949999765493,core 4 cpu_idle start,0.1744888529979973
0.0,2.024292999994941,2.024292999994941,core 5 cpu_idle start,0.17287462219956795
0.0,2.045687000034377,2.045687000034377,core 6 cpu_idle start,0.17470166980293578
0.0,2.024322999990545,2.024322999990545,core 7 cpu_idle start,0.17287718419919254
