Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,112.182,112.182,screen dark,28.275248735999998
0,112.182,112.182,wifi running,0.20607384672
0.0,7.35568899998907,7.35568899998907,core 0 cpu_idle start,0.6284700681590661
0.0,7.2793599999859,7.2793599999859,core 1 cpu_idle start,0.6219485183987953
0.0,7.274572999973316,7.274572999973316,core 2 cpu_idle start,0.6215395171177202
0.0,7.2752179999952205,7.2752179999952205,core 3 cpu_idle start,0.6215946259195917
0.0,7.385875999985728,7.385875999985728,core 4 cpu_idle start,0.6310492454387806
7.385875999985728,7.386149999976624,0.0002739999908953905,core 4 cpu_idle,2.3410559222102166e-05
7.386149999976624,7.387953999976162,0.001803999999538064,core 4 cpu_frequency,0.0001541337599605322
0.0,7.386034000024665,7.386034000024665,core 5 cpu_idle start,0.6310627449621075
7.386034000024665,7.386169000004884,0.00013499998021870852,core 5 cpu_idle,1.1534398309886455e-05
7.386169000004884,7.387940999993589,0.0017719999887049198,core 5 cpu_frequency,0.00015139967903494837
0.0,7.386172999977134,7.386172999977134,core 6 cpu_idle start,0.6310746211180464
7.386172999977134,7.387658999999985,0.0014860000228509307,core 6 cpu_frequency,0.00012696384195238353
0.0,7.357542000012472,7.357542000012472,core 7 cpu_idle start,0.6286283884810656
7.357542000012472,7.386174999992363,0.028632999979890883,core 7 cpu_idle,0.0024464035182818773
7.386174999992363,7.386750000005122,0.0005750000127591193,core 7 cpu_frequency,4.912800109013915e-05
